Time (sec),Center,V
0.195,ca,8.68152559638514e-05
0.195,cb,0.00028748771633485337
0.1965,ca,8.348645324946881e-05
0.1965,cb,0.00028748771633485337
0.198,ca,8.233197894721135e-05
0.198,cb,0.00028748771633485337
0.1995,ca,8.133234764551887e-05
0.1995,cb,0.00028748771633485337
0.201,ca,8.104508518831023e-05
0.201,cb,0.00028748771633485337
0.2025,ca,8.171506894029724e-05
0.2025,cb,0.00028748771633485337
0.20400000000000001,ca,8.069273838660626e-05
0.20400000000000001,cb,0.00028748771633485337
0.20550000000000002,ca,8.196483926832705e-05
0.20550000000000002,cb,0.00028748771633485337
0.20700000000000002,ca,8.310973006187577e-05
0.20700000000000002,cb,0.00028748771633485337
0.20850000000000002,ca,9.133089470001395e-05
0.20850000000000002,cb,0.00028748771633485337
0.21000000000000002,ca,9.872994287433831e-05
0.21000000000000002,cb,0.00028748771633485337
0.21150000000000002,ca,0.00010004975309279515
0.21150000000000002,cb,0.00028748771633485337
0.21300000000000002,ca,9.630121549984918e-05
0.21300000000000002,cb,0.00028748771633485337
0.21450000000000002,ca,9.532467908596671e-05
0.21450000000000002,cb,0.00028748771633485337
0.216,ca,9.444579631347249e-05
0.216,cb,0.00028748771633485337
0.2175,ca,9.171148767749067e-05
0.2175,cb,0.00028748771633485337
0.219,ca,8.804057248393957e-05
0.219,cb,0.00028748771633485337
0.2205,ca,8.562600510762999e-05
0.2205,cb,0.00028748771633485337
0.222,ca,8.345346840989035e-05
0.222,cb,0.00028748771633485337
0.2235,ca,8.24242199415214e-05
0.2235,cb,0.00028748771633485337
0.225,ca,8.138629716904524e-05
0.225,cb,0.00028748771633485337
0.2265,ca,8.399919503419372e-05
0.2265,cb,0.00028748771633485337
0.228,ca,9.165985121833591e-05
0.228,cb,0.00028748771633485337
0.2295,ca,9.855444178406389e-05
0.2295,cb,0.00028748771633485337
0.231,ca,9.506304884489454e-05
0.231,cb,0.00028748771633485337
0.2325,ca,9.156026256232828e-05
0.2325,cb,0.00028748771633485337
0.234,ca,8.852583158045475e-05
0.234,cb,0.00028748771633485337
0.23550000000000001,ca,8.493359574701225e-05
0.23550000000000001,cb,0.00028748771633485337
0.23700000000000002,ca,8.2957473281793e-05
0.23700000000000002,cb,0.00028748771633485337
0.23850000000000002,ca,8.275045051448708e-05
0.23850000000000002,cb,0.00028748771633485337
0.24000000000000002,ca,8.226867316616995e-05
0.24000000000000002,cb,0.00028748771633485337
0.24150000000000002,ca,8.128294980242247e-05
0.24150000000000002,cb,0.00028748771633485337
0.24300000000000002,ca,7.992553866573423e-05
0.24300000000000002,cb,0.00028748771633485337
0.24450000000000002,ca,7.64229003542647e-05
0.24450000000000002,cb,0.00028748771633485337
0.24600000000000002,ca,7.309648121167715e-05
0.24600000000000002,cb,0.00028748771633485337
0.24750000000000003,ca,7.113894605047399e-05
0.24750000000000003,cb,0.00028748771633485337
0.249,ca,7.092579249574981e-05
0.249,cb,0.00028748771633485337
0.2505,ca,7.073395429649807e-05
0.2505,cb,0.00028748771633485337
0.252,ca,6.938529798453421e-05
0.252,cb,0.00028748771633485337
0.2535,ca,6.790685306696331e-05
0.2535,cb,0.00028748771633485337
0.255,ca,6.541313667614058e-05
0.255,cb,0.00028748771633485337
0.2565,ca,6.413388919227056e-05
0.2565,cb,0.00028748771633485337
0.258,ca,6.328274616682839e-05
0.258,cb,0.00028748771633485337
0.2595,ca,6.231112264534483e-05
0.2595,cb,0.00028748771633485337
0.261,ca,6.20779234535505e-05
0.261,cb,0.00028748771633485337
0.2625,ca,6.285375420036253e-05
0.2625,cb,0.00028748771633485337
0.264,ca,6.355200187249336e-05
0.264,cb,0.00028748771633485337
0.2655,ca,6.329716296174566e-05
0.2655,cb,0.00028748771633485337
0.267,ca,6.307226247342915e-05
0.267,cb,0.00028748771633485337
0.2685,ca,6.316131741094474e-05
0.2685,cb,0.00028748771633485337
0.27,ca,6.29333417343095e-05
0.27,cb,0.00028748771633485337
0.2715,ca,6.26496002644651e-05
0.2715,cb,0.00028748771633485337
0.273,ca,6.122894033584108e-05
0.273,cb,0.00028748771633485337
0.2745,ca,6.004490680281795e-05
0.2745,cb,0.00028748771633485337
0.276,ca,5.8979276623097135e-05
0.276,cb,0.00028748771633485337
0.2775,ca,5.871383660357965e-05
0.2775,cb,0.00028748771633485337
0.279,ca,5.8453486710580724e-05
0.279,cb,0.00028748771633485337
0.2805,ca,5.978309601686142e-05
0.2805,cb,0.00028748771633485337
0.28200000000000003,ca,6.0979744392514047e-05
0.28200000000000003,cb,0.00028748771633485337
0.28350000000000003,ca,6.038747652727042e-05
0.28350000000000003,cb,0.00028748771633485337
0.28500000000000003,ca,5.95446714027228e-05
0.28500000000000003,cb,0.00028748771633485337
0.28650000000000003,ca,5.959557470644101e-05
0.28650000000000003,cb,0.00028748771633485337
0.28800000000000003,ca,5.9641387679787395e-05
0.28800000000000003,cb,0.00028748771633485337
0.28950000000000004,ca,6.021310330529692e-05
0.28950000000000004,cb,0.00028748771633485337
0.29100000000000004,ca,6.362777394938449e-05
0.29100000000000004,cb,0.00028748771633485337
0.29250000000000004,ca,6.670097752906329e-05
0.29250000000000004,cb,0.00028748771633485337
0.29400000000000004,ca,6.630370535081028e-05
0.29400000000000004,cb,0.00028748771633485337
0.29550000000000004,ca,6.594616039038257e-05
0.29550000000000004,cb,0.00028748771633485337
0.29700000000000004,ca,6.523010202182679e-05
0.29700000000000004,cb,0.00028748771633485337
0.2985,ca,6.485193836055275e-05
0.2985,cb,0.00028748771633485337
0.3,ca,6.429911963508208e-05
0.3,cb,0.00028748771633485337
0.3015,ca,6.396795781995435e-05
0.3015,cb,0.00028748771633485337
0.303,ca,6.353311958053138e-05
0.303,cb,0.00028748771633485337
0.3045,ca,6.282463554774852e-05
0.3045,cb,0.00028748771633485337
0.306,ca,6.313091239838669e-05
0.306,cb,0.00028748771633485337
0.3075,ca,6.393464836048877e-05
0.3075,cb,0.00028748771633485337
0.309,ca,6.473907645854713e-05
0.309,cb,0.00028748771633485337
0.3105,ca,6.530681704006539e-05
0.3105,cb,0.00028748771633485337
0.312,ca,6.532735046368469e-05
0.312,cb,0.00028748771633485337
0.3135,ca,6.491952075528975e-05
0.3135,cb,0.00028748771633485337
0.315,ca,6.177795541497947e-05
0.315,cb,0.00028748771633485337
0.3165,ca,6.006484824355501e-05
0.3165,cb,0.00028748771633485337
0.318,ca,6.006367166528062e-05
0.318,cb,0.00028748771633485337
0.3195,ca,6.070615919975598e-05
0.3195,cb,0.00028748771633485337
0.321,ca,6.147756999976539e-05
0.321,cb,0.00028748771633485337
0.3225,ca,6.116870593829002e-05
0.3225,cb,0.00028748771633485337
0.324,ca,5.9940101081613286e-05
0.324,cb,0.00028748771633485337
0.3255,ca,5.8837052866361346e-05
0.3255,cb,0.00028748771633485337
0.327,ca,5.9526441673429464e-05
0.327,cb,0.00028748771633485337
0.3285,ca,6.05957194787081e-05
0.3285,cb,0.00028748771633485337
0.33,ca,6.003136470609226e-05
0.33,cb,0.00028748771633485337
0.3315,ca,5.931350658446594e-05
0.3315,cb,0.00028748771633485337
0.333,ca,5.866743427500224e-05
0.333,cb,0.00028748771633485337
0.3345,ca,5.770304250611397e-05
0.3345,cb,0.00028748771633485337
0.336,ca,5.6794838706926445e-05
0.336,cb,0.00028748771633485337
0.3375,ca,5.746117434754564e-05
0.3375,cb,0.00028748771633485337
0.339,ca,5.796771755196421e-05
0.339,cb,0.00028748771633485337
0.3405,ca,5.825270030869761e-05
0.3405,cb,0.00028748771633485337
0.342,ca,5.795506745428047e-05
0.342,cb,0.00028748771633485337
0.3435,ca,5.818879693723362e-05
0.3435,cb,0.00028748771633485337
0.34500000000000003,ca,5.916487811873988e-05
0.34500000000000003,cb,0.00028748771633485337
0.34650000000000003,ca,6.004335118209551e-05
0.34650000000000003,cb,0.00028748771633485337
0.34800000000000003,ca,6.115382659677878e-05
0.34800000000000003,cb,0.00028748771633485337
0.34950000000000003,ca,6.215325446999371e-05
0.34950000000000003,cb,0.00028748771633485337
0.35100000000000003,ca,6.492004428375812e-05
0.35100000000000003,cb,0.00028748771633485337
0.35250000000000004,ca,6.830457555596591e-05
0.35250000000000004,cb,0.00028748771633485337
0.35400000000000004,ca,6.903046953011267e-05
0.35400000000000004,cb,0.00028748771633485337
0.35550000000000004,ca,6.893103980928963e-05
0.35550000000000004,cb,0.00028748771633485337
0.35700000000000004,ca,6.857927406740349e-05
0.35700000000000004,cb,0.00028748771633485337
0.35850000000000004,ca,6.86931627116854e-05
0.35850000000000004,cb,0.00028748771633485337
0.36000000000000004,ca,6.840311208477598e-05
0.36000000000000004,cb,0.00028748771633485337
0.36150000000000004,ca,6.83953581909195e-05
0.36150000000000004,cb,0.00028748771633485337
0.36300000000000004,ca,6.86060134794663e-05
0.36300000000000004,cb,0.00028748771633485337
0.3645,ca,6.749911063881759e-05
0.3645,cb,0.00028748771633485337
0.366,ca,6.5872361045264e-05
0.366,cb,0.00028748771633485337
0.3675,ca,6.732516822015415e-05
0.3675,cb,0.00028748771633485337
0.369,ca,7.0250362478938e-05
0.369,cb,0.00028748771633485337
0.3705,ca,7.106983099891709e-05
0.3705,cb,0.00028748771633485337
0.372,ca,7.02299356877497e-05
0.372,cb,0.00028748771633485337
0.3735,ca,6.942906134353915e-05
0.3735,cb,0.00028748771633485337
0.375,ca,6.720117716669478e-05
0.375,cb,0.00028748771633485337
0.3765,ca,6.825862578706288e-05
0.3765,cb,0.00028748771633485337
0.378,ca,6.961615536930089e-05
0.378,cb,0.00028748771633485337
0.3795,ca,6.9391406232599e-05
0.3795,cb,0.00028748771633485337
0.381,ca,6.91891320095673e-05
0.381,cb,0.00028748771633485337
0.3825,ca,6.892945008554742e-05
0.3825,cb,0.00028748771633485337
0.384,ca,6.873845134930922e-05
0.384,cb,0.00028748771633485337
0.3855,ca,6.884491320619576e-05
0.3855,cb,0.00028748771633485337
0.387,ca,7.021018163617663e-05
0.387,cb,0.00028748771633485337
0.3885,ca,7.143892322315942e-05
0.3885,cb,0.00028748771633485337
0.39,ca,7.109621222014895e-05
0.39,cb,0.00028748771633485337
0.3915,ca,7.040351644952332e-05
0.3915,cb,0.00028748771633485337
0.393,ca,6.856352615255795e-05
0.393,cb,0.00028748771633485337
0.3945,ca,6.630204865501489e-05
0.3945,cb,0.00028748771633485337
0.396,ca,6.44060773070578e-05
0.396,cb,0.00028748771633485337
0.3975,ca,6.376077257969869e-05
0.3975,cb,0.00028748771633485337
0.399,ca,6.318033565973846e-05
0.399,cb,0.00028748771633485337
0.4005,ca,6.188341677739815e-05
0.4005,cb,0.00028748771633485337
0.402,ca,6.080457332369724e-05
0.402,cb,0.00028748771633485337
0.4035,ca,5.9797777750684876e-05
0.4035,cb,0.00028748771633485337
0.405,ca,5.839683900855486e-05
0.405,cb,0.00028748771633485337
0.40650000000000003,ca,5.6894211249195316e-05
0.40650000000000003,cb,0.00028748771633485337
0.40800000000000003,ca,5.610452064125361e-05
0.40800000000000003,cb,0.00028748771633485337
0.40950000000000003,ca,5.7722901326659156e-05
0.40950000000000003,cb,0.00028748771633485337
0.41100000000000003,ca,5.9485880981569004e-05
0.41100000000000003,cb,0.00028748771633485337
0.41250000000000003,ca,6.0575424998157064e-05
0.41250000000000003,cb,0.00028748771633485337
0.41400000000000003,ca,6.0464050199476116e-05
0.41400000000000003,cb,0.00028748771633485337
0.41550000000000004,ca,5.897500090302234e-05
0.41550000000000004,cb,0.00028748771633485337
0.41700000000000004,ca,5.696751672174621e-05
0.41700000000000004,cb,0.00028748771633485337
